branch_name,branch_id,count,rmse_mean,rmse_std,rmse_min,rmse_max,r2_mean,r2_std,r2_min,r2_max,mae_mean,mae_std,mae_min,mae_max
derivative,3,21,12.299429,0.356216,11.778443,12.896704,0.613991,0.022422,0.575946,0.646297,9.145183,0.355235,8.854188,9.835718
msc,1,21,17.726803,0.800823,16.796730,19.489621,0.197196,0.074377,0.031566,0.280695,14.296867,0.775737,13.442192,15.985977
savgol,2,21,17.727993,0.800508,16.797754,19.489935,0.197089,0.074351,0.031534,0.280608,14.297925,0.775176,13.443567,15.985823
snv,0,21,17.918663,0.346587,17.461253,18.548136,0.181088,0.031794,0.122870,0.222654,14.621744,0.309920,14.105027,15.168493
snv+derivative,4,21,14.531495,0.478886,13.778898,15.271717,0.461041,0.035508,0.405380,0.515948,11.240041,0.423924,10.684676,11.837915
