size,added,subset,spearman,kendall,pairwise_agreement,rank_mae,agg_mae,selected_coverage_ratio,min_class_selected_count,composite,random_n_trials,random_spearman_mean,random_spearman_p05,random_kendall_mean,random_pairwise_mean,random_agg_mae_mean,random_agg_mae_p05,random_coverage_mean
14,Rd25_GTtestSite,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg|N_woOutlier|grapevine_chloride_556_KS|Malaria_Sporozoite_229_Maia|Pi_spxyG|LUCAS_pH_Organic_1763_LiuRandomOrganic|Rd25_GTtestSite,1.0,1.0,1.0,0.0,0.04255151055421525,0.9732142857142857,13,0.7874718407462998,200,0.8783333333333334,0.7142857142857144,0.7628571428571428,0.88125,0.15098785045353375,0.07824541974862084,0.974107142857143
15,ph_groupSampleID_stratDateVar_balRows,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg|N_woOutlier|grapevine_chloride_556_KS|Malaria_Sporozoite_229_Maia|Pi_spxyG|LUCAS_pH_Organic_1763_LiuRandomOrganic|Rd25_GTtestSite|ph_groupSampleID_stratDateVar_balRows,1.0,1.0,1.0,0.0,0.033055028256382,0.975,14,0.7896389943487236,200,0.8726190476190478,0.6904761904761906,0.7525,0.8757142857142859,0.14823500738569684,0.07911358961166384,0.9699583333333334
16,Rd25_CBtestSite,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg|N_woOutlier|grapevine_chloride_556_KS|Malaria_Sporozoite_229_Maia|Pi_spxyG|LUCAS_pH_Organic_1763_LiuRandomOrganic|Rd25_GTtestSite|ph_groupSampleID_stratDateVar_balRows|Rd25_CBtestSite,1.0,1.0,1.0,0.0,0.03445372689006649,0.9765625,15,0.7895936296219868,200,0.8755952380952382,0.6904761904761906,0.7553571428571427,0.8771428571428571,0.14460440627027285,0.07568791173880872,0.971875
17,An_spxyG70_30_byCultivar_ASD,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg|N_woOutlier|grapevine_chloride_556_KS|Malaria_Sporozoite_229_Maia|Pi_spxyG|LUCAS_pH_Organic_1763_LiuRandomOrganic|Rd25_GTtestSite|ph_groupSampleID_stratDateVar_balRows|Rd25_CBtestSite|An_spxyG70_30_byCultivar_ASD,1.0,1.0,1.0,0.0,0.021043244338557872,0.9779411764705882,16,0.7924825276028766,200,0.8883333333333334,0.7142857142857144,0.7767857142857143,0.8882142857142857,0.13448564329892382,0.06733034968069541,0.9725735294117648
18,LMA_spxyG70_30_byCultivar_ASD,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg|N_woOutlier|grapevine_chloride_556_KS|Malaria_Sporozoite_229_Maia|Pi_spxyG|LUCAS_pH_Organic_1763_LiuRandomOrganic|Rd25_GTtestSite|ph_groupSampleID_stratDateVar_balRows|Rd25_CBtestSite|An_spxyG70_30_byCultivar_ASD|LMA_spxyG70_30_byCultivar_ASD,1.0,1.0,1.0,0.0,0.02258215274271519,0.9791666666666666,17,0.792358569451457,200,0.8896428571428572,0.7142857142857144,0.7767857142857142,0.8880357142857143,0.1295430710814194,0.06576890663025428,0.9702430555555555
19,Rd25_spxy70,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg|N_woOutlier|grapevine_chloride_556_KS|Malaria_Sporozoite_229_Maia|Pi_spxyG|LUCAS_pH_Organic_1763_LiuRandomOrganic|Rd25_GTtestSite|ph_groupSampleID_stratDateVar_balRows|Rd25_CBtestSite|An_spxyG70_30_byCultivar_ASD|LMA_spxyG70_30_byCultivar_ASD|Rd25_spxy70,1.0,1.0,1.0,0.0,0.021812780679038437,0.9802631578947368,18,0.7926769175484029,200,0.9050000000000001,0.7619047619047621,0.7992857142857143,0.8985714285714286,0.12100402288152118,0.06515002003432535,0.9716118421052632
20,Corn_Oil_80_ZhengChenPelegYbaseSplit,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg|N_woOutlier|grapevine_chloride_556_KS|Malaria_Sporozoite_229_Maia|Pi_spxyG|LUCAS_pH_Organic_1763_LiuRandomOrganic|Rd25_GTtestSite|ph_groupSampleID_stratDateVar_balRows|Rd25_CBtestSite|An_spxyG70_30_byCultivar_ASD|LMA_spxyG70_30_byCultivar_ASD|Rd25_spxy70|Corn_Oil_80_ZhengChenPelegYbaseSplit,1.0,1.0,1.0,0.0,0.02136164934261127,0.98125,19,0.7929151701314778,200,0.9091666666666669,0.7845238095238096,0.8017857142857143,0.9005357142857143,0.11744284841780239,0.0660753356848416,0.9721249999999999
21,Ccar_spxyG_block2deg,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg|N_woOutlier|grapevine_chloride_556_KS|Malaria_Sporozoite_229_Maia|Pi_spxyG|LUCAS_pH_Organic_1763_LiuRandomOrganic|Rd25_GTtestSite|ph_groupSampleID_stratDateVar_balRows|Rd25_CBtestSite|An_spxyG70_30_byCultivar_ASD|LMA_spxyG70_30_byCultivar_ASD|Rd25_spxy70|Corn_Oil_80_ZhengChenPelegYbaseSplit|Ccar_spxyG_block2deg,1.0,1.0,1.0,0.0,0.020164847322834138,0.9821428571428571,20,0.7932884591068616,200,0.9197619047619048,0.8095238095238096,0.82,0.9094642857142857,0.11522785993938452,0.06470714309576191,0.970922619047619
22,WOOD_N_402_Olale,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg|N_woOutlier|grapevine_chloride_556_KS|Malaria_Sporozoite_229_Maia|Pi_spxyG|LUCAS_pH_Organic_1763_LiuRandomOrganic|Rd25_GTtestSite|ph_groupSampleID_stratDateVar_balRows|Rd25_CBtestSite|An_spxyG70_30_byCultivar_ASD|LMA_spxyG70_30_byCultivar_ASD|Rd25_spxy70|Corn_Oil_80_ZhengChenPelegYbaseSplit|Ccar_spxyG_block2deg|WOOD_N_402_Olale,1.0,1.0,1.0,0.0,0.023873629950451215,0.9829545454545454,21,0.7926684558280916,200,0.9145238095238096,0.7619047619047621,0.8153571428571428,0.9075,0.11302717610833227,0.0576623384617329,0.9718181818181819
23,Fv_Fm_grp70_30,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg|N_woOutlier|grapevine_chloride_556_KS|Malaria_Sporozoite_229_Maia|Pi_spxyG|LUCAS_pH_Organic_1763_LiuRandomOrganic|Rd25_GTtestSite|ph_groupSampleID_stratDateVar_balRows|Rd25_CBtestSite|An_spxyG70_30_byCultivar_ASD|LMA_spxyG70_30_byCultivar_ASD|Rd25_spxy70|Corn_Oil_80_ZhengChenPelegYbaseSplit|Ccar_spxyG_block2deg|WOOD_N_402_Olale|Fv_Fm_grp70_30,1.0,1.0,1.0,0.0,0.024082659490619437,0.9836956521739131,22,0.792737815927963,200,0.9201190476190477,0.7619047619047621,0.8217857142857143,0.9101785714285714,0.10592270817062573,0.05956910830286304,0.9717391304347825
24,All_manure_K2O_SPXY_strat_Manure_type,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg|N_woOutlier|grapevine_chloride_556_KS|Malaria_Sporozoite_229_Maia|Pi_spxyG|LUCAS_pH_Organic_1763_LiuRandomOrganic|Rd25_GTtestSite|ph_groupSampleID_stratDateVar_balRows|Rd25_CBtestSite|An_spxyG70_30_byCultivar_ASD|LMA_spxyG70_30_byCultivar_ASD|Rd25_spxy70|Corn_Oil_80_ZhengChenPelegYbaseSplit|Ccar_spxyG_block2deg|WOOD_N_402_Olale|Fv_Fm_grp70_30|All_manure_K2O_SPXY_strat_Manure_type,1.0,1.0,1.0,0.0,0.02882476893853051,0.984375,23,0.7918912962122939,200,0.9276190476190479,0.8095238095238096,0.8289285714285716,0.9139285714285714,0.10301411746884781,0.05448927028208722,0.970625
25,brix_groupSampleID_stratDateVar_balRows,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg|N_woOutlier|grapevine_chloride_556_KS|Malaria_Sporozoite_229_Maia|Pi_spxyG|LUCAS_pH_Organic_1763_LiuRandomOrganic|Rd25_GTtestSite|ph_groupSampleID_stratDateVar_balRows|Rd25_CBtestSite|An_spxyG70_30_byCultivar_ASD|LMA_spxyG70_30_byCultivar_ASD|Rd25_spxy70|Corn_Oil_80_ZhengChenPelegYbaseSplit|Ccar_spxyG_block2deg|WOOD_N_402_Olale|Fv_Fm_grp70_30|All_manure_K2O_SPXY_strat_Manure_type|brix_groupSampleID_stratDateVar_balRows,1.0,1.0,1.0,0.0,0.01886411310186042,0.985,24,0.793977177379628,200,0.9355952380952383,0.8333333333333335,0.8439285714285714,0.9216071428571427,0.09973133417067057,0.05287021622733514,0.9703499999999999
26,Biscuit_Sucrose_40_RandomSplit,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg|N_woOutlier|grapevine_chloride_556_KS|Malaria_Sporozoite_229_Maia|Pi_spxyG|LUCAS_pH_Organic_1763_LiuRandomOrganic|Rd25_GTtestSite|ph_groupSampleID_stratDateVar_balRows|Rd25_CBtestSite|An_spxyG70_30_byCultivar_ASD|LMA_spxyG70_30_byCultivar_ASD|Rd25_spxy70|Corn_Oil_80_ZhengChenPelegYbaseSplit|Ccar_spxyG_block2deg|WOOD_N_402_Olale|Fv_Fm_grp70_30|All_manure_K2O_SPXY_strat_Manure_type|brix_groupSampleID_stratDateVar_balRows|Biscuit_Sucrose_40_RandomSplit,1.0,1.0,1.0,0.0,0.02288243458493243,0.9807692307692307,24,0.792538897698398,200,0.9380952380952381,0.855952380952381,0.8482142857142858,0.9239285714285714,0.09589030163984542,0.053300015589997855,0.9706730769230768
27,MP_spxyG,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg|N_woOutlier|grapevine_chloride_556_KS|Malaria_Sporozoite_229_Maia|Pi_spxyG|LUCAS_pH_Organic_1763_LiuRandomOrganic|Rd25_GTtestSite|ph_groupSampleID_stratDateVar_balRows|Rd25_CBtestSite|An_spxyG70_30_byCultivar_ASD|LMA_spxyG70_30_byCultivar_ASD|Rd25_spxy70|Corn_Oil_80_ZhengChenPelegYbaseSplit|Ccar_spxyG_block2deg|WOOD_N_402_Olale|Fv_Fm_grp70_30|All_manure_K2O_SPXY_strat_Manure_type|brix_groupSampleID_stratDateVar_balRows|Biscuit_Sucrose_40_RandomSplit|MP_spxyG,1.0,1.0,1.0,0.0,0.029252006392820676,0.9814814814814815,25,0.7913718209436581,200,0.9289285714285717,0.8095238095238096,0.8321428571428572,0.9158928571428571,0.09302698094854357,0.04879413162018397,0.972060185185185
28,Corn_Starch_80_ZhengChenPelegYbaseSplit,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg|N_woOutlier|grapevine_chloride_556_KS|Malaria_Sporozoite_229_Maia|Pi_spxyG|LUCAS_pH_Organic_1763_LiuRandomOrganic|Rd25_GTtestSite|ph_groupSampleID_stratDateVar_balRows|Rd25_CBtestSite|An_spxyG70_30_byCultivar_ASD|LMA_spxyG70_30_byCultivar_ASD|Rd25_spxy70|Corn_Oil_80_ZhengChenPelegYbaseSplit|Ccar_spxyG_block2deg|WOOD_N_402_Olale|Fv_Fm_grp70_30|All_manure_K2O_SPXY_strat_Manure_type|brix_groupSampleID_stratDateVar_balRows|Biscuit_Sucrose_40_RandomSplit|MP_spxyG|Corn_Starch_80_ZhengChenPelegYbaseSplit,1.0,1.0,1.0,0.0,0.020913281756397208,0.9821428571428571,26,0.7931387722201491,200,0.9396428571428573,0.855952380952381,0.8532142857142858,0.92625,0.09011017161429108,0.04442587245125709,0.9721205357142857
29,Biscuit_Fat_40_RandomSplit,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg|N_woOutlier|grapevine_chloride_556_KS|Malaria_Sporozoite_229_Maia|Pi_spxyG|LUCAS_pH_Organic_1763_LiuRandomOrganic|Rd25_GTtestSite|ph_groupSampleID_stratDateVar_balRows|Rd25_CBtestSite|An_spxyG70_30_byCultivar_ASD|LMA_spxyG70_30_byCultivar_ASD|Rd25_spxy70|Corn_Oil_80_ZhengChenPelegYbaseSplit|Ccar_spxyG_block2deg|WOOD_N_402_Olale|Fv_Fm_grp70_30|All_manure_K2O_SPXY_strat_Manure_type|brix_groupSampleID_stratDateVar_balRows|Biscuit_Sucrose_40_RandomSplit|MP_spxyG|Corn_Starch_80_ZhengChenPelegYbaseSplit|Biscuit_Fat_40_RandomSplit,1.0,1.0,1.0,0.0,0.016572330993304067,0.978448275862069,26,0.7934527751806495,200,0.9445238095238097,0.880952380952381,0.8575,0.9278571428571428,0.08611184144333248,0.04960860218742583,0.970625
30,Milk_Urea_1224_KS,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg|N_woOutlier|grapevine_chloride_556_KS|Malaria_Sporozoite_229_Maia|Pi_spxyG|LUCAS_pH_Organic_1763_LiuRandomOrganic|Rd25_GTtestSite|ph_groupSampleID_stratDateVar_balRows|Rd25_CBtestSite|An_spxyG70_30_byCultivar_ASD|LMA_spxyG70_30_byCultivar_ASD|Rd25_spxy70|Corn_Oil_80_ZhengChenPelegYbaseSplit|Ccar_spxyG_block2deg|WOOD_N_402_Olale|Fv_Fm_grp70_30|All_manure_K2O_SPXY_strat_Manure_type|brix_groupSampleID_stratDateVar_balRows|Biscuit_Sucrose_40_RandomSplit|MP_spxyG|Corn_Starch_80_ZhengChenPelegYbaseSplit|Biscuit_Fat_40_RandomSplit|Milk_Urea_1224_KS,1.0,1.0,1.0,0.0,0.022429160176460062,0.9791666666666666,27,0.792389167964708,200,0.9428571428571431,0.855952380952381,0.8575,0.9280357142857143,0.08349246551233552,0.04524942883103932,0.9714375
