spearman_mean,spearman_p05,spearman_p95,kendall_mean,kendall_p05,pairwise_mean,pairwise_p05,pairwise_p95,n_boot,size
0.9737842570946229,0.9632178671439574,0.981431549817899,0.8720895107212155,0.8454736148820525,0.932310531496063,0.9199680118110236,0.9428211122047244,300,3
0.9792032387260212,0.9693018730415174,0.9858294503301277,0.8912306265185017,0.8664522007463854,0.9422157972440944,0.930425688976378,0.9523991141732283,300,4
0.9826925272654735,0.9747139791661592,0.9882951472600834,0.9013120648232401,0.8806475808388373,0.9474257709973752,0.9369955708661417,0.9564530019685039,300,5
0.985027359574539,0.9772817242090925,0.9902590654500247,0.9103430770127924,0.8897821544687795,0.9520898950131234,0.941775344488189,0.9609990157480315,300,6
0.9871255340020026,0.9795360469087852,0.9924354839752412,0.9229355855206484,0.9043921368510105,0.9583472769028871,0.9493110236220472,0.9677718996062992,300,7
0.9880580955258744,0.981012161075071,0.9927624994198639,0.9246949151410644,0.9067870970891013,0.9593290682414698,0.9507566437007874,0.9672859251968504,300,8
0.9934503179038283,0.9899667240827491,0.9960385794758687,0.9461254524366753,0.930067037399128,0.969232693569554,0.9602239173228347,0.9766363188976378,300,9
0.994122385280481,0.9909934454455837,0.9963187684989925,0.9493083363955956,0.9358385794877186,0.9710428969816273,0.963693405511811,0.9773622047244095,300,10
0.9942121630163818,0.9906750710347787,0.9964757260987919,0.9503260074725705,0.9358592960792168,0.971402969160105,0.9636995570866143,0.9778543307086615,300,11
0.9944435782584136,0.9915373424207,0.9965405119370704,0.9508029773931126,0.9394516839147761,0.9727550853018372,0.9659079724409448,0.9785925196850394,300,12
0.9947642061328673,0.9920346538349418,0.9967437887842203,0.9522546838726691,0.9403992240736675,0.9734949146981627,0.9669045275590551,0.9789677657480315,300,13
0.9948000989962699,0.9921015677002435,0.9966977097413051,0.9527655482628711,0.9411613604510611,0.9736339402887141,0.9672428641732284,0.9792076771653543,300,14
0.9945449166869829,0.9915914903090699,0.9965602064045816,0.9518494064412522,0.9396372322802987,0.9729728510498686,0.9661478838582678,0.9783526082677165,300,15
0.9949801279125239,0.9925710050630268,0.9968245512870909,0.9526110534309365,0.9421340994489527,0.9720058234908137,0.9662832185039371,0.9777374507874015,300,16
0.9951731538583886,0.9928198192112114,0.996988312427669,0.95505206217146,0.944583935207595,0.9745250984251971,0.968873031496063,0.9801919291338582,300,17
0.995299713406591,0.9928819347055865,0.9969638472341961,0.9565439117253243,0.9442513363885617,0.9748293963254594,0.9688668799212599,0.9799458661417323,300,18
0.9955410485324334,0.9935562883834738,0.9971935446507775,0.9579734572178078,0.946846668873878,0.9760851377952756,0.9702202263779528,0.9811761811023622,300,19
0.9957581302594615,0.9936075761559264,0.9974052909952413,0.9585208934509819,0.947195001600893,0.9761310695538057,0.9703494094488189,0.9808193897637796,300,20
0.9955206296335625,0.9931348567827502,0.9974090304781331,0.9597308417960293,0.9471565668944057,0.9763873851706036,0.9698572834645669,0.9821604330708661,300,21
0.9956222180186319,0.9935282402963638,0.9975090048587274,0.9587175412969215,0.9467355587038878,0.9772182578740158,0.9715797244094488,0.9832738681102362,300,22
0.9955439081271459,0.9934396673526875,0.9974653443587054,0.958440830812986,0.9468582701410737,0.9772063648293962,0.9712044783464567,0.9830216535433071,300,23
0.9958300822222228,0.9935715392473425,0.9977257758532692,0.9604055484706437,0.9490585603331102,0.9760875984251967,0.9700971948818898,0.9825418307086614,300,24
0.9956224493234553,0.9934001050563639,0.9975319824136114,0.9600722669511333,0.9491174496846031,0.9767490977690287,0.9713152066929134,0.9824126476377952,300,25
0.9962371272352577,0.9945111626837833,0.9979229921719805,0.9627816413482462,0.9518250265794066,0.9792084973753282,0.9737881397637795,0.9847502460629921,300,26
0.9967098464373726,0.9949351627892796,0.9981442646250399,0.9652572332243377,0.9545224218756757,0.98045562664042,0.9750184547244095,0.9856114665354331,300,27
0.9968981394008616,0.9951852325113643,0.998347459874663,0.9675706670406904,0.9571531088548759,0.9809920439632547,0.9756274606299212,0.9864726870078739,300,28
0.9967329898385903,0.9951658706435541,0.9980567216921417,0.9665459257759229,0.9562022874328573,0.979853592519685,0.9745263287401575,0.9851193405511811,300,29
0.9971444573764753,0.9955261718917285,0.9984509052204471,0.9694717591876822,0.9597742582518546,0.9815075459317584,0.9758858267716536,0.9867310531496063,300,30
