source,model_class,paper_model_label,dataset_group,dataset,metric_name,metric_value,lower_is_better,in_core_57
TabPFN_paper/master_pivot,Paper_CNN,CNN,PHOSPHORUS,NP_spxyG,RMSEP,0.1308428302701117,True,True
TabPFN_paper/master_pivot,Paper_CNN,CNN,PHOSPHORUS,Pi_spxyG,RMSEP,0.2161549115938909,True,True
TabPFN_paper/master_pivot,Paper_CNN,CNN,PHOSPHORUS,V25_spxyG,RMSEP,0.2429051266219819,True,True
TabPFN_paper/master_pivot,Paper_CNN,CNN,QUARTZ,Quartz_spxy70,RMSEP,0.0109287547359119,True,True
TabPFN_paper/master_pivot,Paper_CNN,CNN,TABLET,Escitalopramt_310_Zhao,RMSEP,0.3195409959979831,True,True
TabPFN_paper/master_pivot,Paper_CNN,CNN,WOOD_density,WOOD_Density_402_Olale,RMSEP,0.1349870752928403,True,True
TabPFN_paper/master_pivot,Paper_CNN,CNN,WOOD_density,WOOD_N_402_Olale,RMSEP,0.0648556609480335,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,ALPINE,ALPINE_P_291_KS,RMSEP,0.0603528865617188,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,AMYLOSE,Rice_Amylose_313_YbasedSplit,RMSEP,3.581127726639834,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,BEEFMARBLING,Beef_Marbling_RandomSplit,RMSEP,65.97854293540463,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,BEER,Beer_OriginalExtract_60_KS,RMSEP,0.4457752108607296,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,BEER,Beer_OriginalExtract_60_YbaseSplit,RMSEP,0.8248772788864936,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,BERRY,brix_groupSampleID_stratDateVar_balRows,RMSEP,3.3154128982840474,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,BERRY,ph_groupSampleID_stratDateVar_balRows,RMSEP,0.2578402052728352,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,BERRY,ta_groupSampleID_stratDateVar_balRows,RMSEP,1.6883051624461078,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,BISCUIT,Biscuit_Fat_40_RandomSplit,RMSEP,1.3058914497145615,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,BISCUIT,Biscuit_Sucrose_40_RandomSplit,RMSEP,1.5124326715988914,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,COLZA,C_woOutlier,RMSEP,1.10283466346398,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,COLZA,N_wOutlier,RMSEP,0.2650874523717349,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,COLZA,N_woOutlier,RMSEP,0.2540808169377002,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,CORN,Corn_Oil_80_ZhengChenPelegYbaseSplit,RMSEP,0.0934955426164865,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,CORN,Corn_Starch_80_ZhengChenPelegYbaseSplit,RMSEP,0.1903484437835889,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,DIESEL,DIESEL_bp50_246_b-a,RMSEP,6.186257544946492,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,DIESEL,DIESEL_bp50_246_hla-b,RMSEP,7.274328543367229,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,DIESEL,DIESEL_bp50_246_hlb-a,RMSEP,6.045254390410433,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,DarkResp,Rd25_CBtestSite,RMSEP,0.3714565878170351,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,DarkResp,Rd25_GTtestSite,RMSEP,0.3073737580103328,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,DarkResp,Rd25_XSBNtestSite,RMSEP,0.2792855200781804,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,DarkResp,Rd25_spxy70,RMSEP,0.1663522134539291,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,ECOSIS_LeafTraits,Ccar_spxyG_block2deg,RMSEP,39.54812279603111,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,RMSEP,55.892551960924,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,ECOSIS_LeafTraits,Chla+b_spxyG_species,RMSEP,26.549529540829685,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,FUSARIUM,Fv_Fm_grp70_30,RMSEP,0.0294391221860153,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,GRAPEVINES,grapevine_chloride_556_KS,RMSEP,875.196391770851,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_ASD,RMSEP,3.0972847750626595,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_MicroNIR,RMSEP,3.959544574822563,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,RMSEP,4.163476803765716,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_NeoSpectra,RMSEP,4.8041700890023495,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,GRAPEVINE_LeafTraits,LMA_spxyG70_30_byCultivar_ASD,RMSEP,0.324087991799308,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,GRAPEVINE_LeafTraits,WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,RMSEP,1.7864439261499914,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,IncombustibleMaterial,TIC_spxy70,RMSEP,3.8836388033062335,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,LUCAS,LUCAS_SOC_Cropland_8731_NocitaKS,RMSEP,4.593548852001947,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,LUCAS,LUCAS_SOC_all_26650_NocitaKS,RMSEP,9.320681577794335,True,False
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,LUCAS,LUCAS_pH_Organic_1763_LiuRandomOrganic,RMSEP,0.390868687416521,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,MALARIA,Malaria_Oocist_333_Maia,RMSEP,8008.055653763267,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,MALARIA,Malaria_Sporozoite_229_Maia,RMSEP,36236.08587813769,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,MANURE21,All_manure_CaO_SPXY_strat_Manure_type,RMSEP,6.548555293539626,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,MANURE21,All_manure_K2O_SPXY_strat_Manure_type,RMSEP,2.9866502830487853,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,MANURE21,All_manure_MgO_SPXY_strat_Manure_type,RMSEP,0.8518912219363179,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,MANURE21,All_manure_P2O5_SPXY_strat_Manure_type,RMSEP,2.5134006603653662,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,MANURE21,All_manure_Total_N_SPXY_strat_Manure_type,RMSEP,1.6932689102057146,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,MILK,Milk_Fat_1224_KS,RMSEP,0.1076072499263633,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,MILK,Milk_Lactose_1224_KS,RMSEP,0.0734632749827081,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,MILK,Milk_Urea_1224_KS,RMSEP,4.123773577115815,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,PHOSPHORUS,LP_spxyG,RMSEP,0.1775681231587723,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,PHOSPHORUS,MP_spxyG,RMSEP,0.0192216436712246,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,PHOSPHORUS,NP_spxyG,RMSEP,0.1046577279583968,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,PHOSPHORUS,Pi_spxyG,RMSEP,0.1640914842706666,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,PHOSPHORUS,V25_spxyG,RMSEP,0.3245479917041954,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,PLUMS,Firmness_spxy70,RMSEP,0.2918197830454076,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,QUARTZ,Quartz_spxy70,RMSEP,0.0069035822134068,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,TABLET,Escitalopramt_310_Zhao,RMSEP,0.3107165334629424,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,WOOD_density,WOOD_Density_402_Olale,RMSEP,0.126721308075477,True,True
TabPFN_paper/master_pivot,Paper_CatBoost,Catboost,WOOD_density,WOOD_N_402_Olale,RMSEP,0.0509146784257037,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,ALPINE,ALPINE_P_291_KS,RMSEP,0.0622707496529526,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,AMYLOSE,Rice_Amylose_313_YbasedSplit,RMSEP,1.9053137710488337,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,BEEFMARBLING,Beef_Marbling_RandomSplit,RMSEP,74.42331712695719,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,BEER,Beer_OriginalExtract_60_KS,RMSEP,0.3785376580667717,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,BEER,Beer_OriginalExtract_60_YbaseSplit,RMSEP,0.2559337959455767,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,BERRY,brix_groupSampleID_stratDateVar_balRows,RMSEP,3.63450236692312,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,BERRY,ph_groupSampleID_stratDateVar_balRows,RMSEP,0.3161983765407297,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,BERRY,ta_groupSampleID_stratDateVar_balRows,RMSEP,1.8842455461398468,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,BISCUIT,Biscuit_Fat_40_RandomSplit,RMSEP,1.2460131665087948,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,BISCUIT,Biscuit_Sucrose_40_RandomSplit,RMSEP,1.5986900396222972,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,COLZA,C_woOutlier,RMSEP,1.6479925765618069,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,COLZA,N_wOutlier,RMSEP,0.273325892100392,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,COLZA,N_woOutlier,RMSEP,0.2380378882249404,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,CORN,Corn_Oil_80_ZhengChenPelegYbaseSplit,RMSEP,0.0234765281539116,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,CORN,Corn_Starch_80_ZhengChenPelegYbaseSplit,RMSEP,0.084406180543604,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,DIESEL,DIESEL_bp50_246_b-a,RMSEP,3.2879436552500017,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,DIESEL,DIESEL_bp50_246_hla-b,RMSEP,2.959740670399023,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,DIESEL,DIESEL_bp50_246_hlb-a,RMSEP,3.3371545038764685,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,DarkResp,Rd25_CBtestSite,RMSEP,0.2485778076832695,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,DarkResp,Rd25_GTtestSite,RMSEP,0.2611671026431517,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,DarkResp,Rd25_XSBNtestSite,RMSEP,0.315774422720676,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,DarkResp,Rd25_spxy70,RMSEP,0.1794124986225498,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,ECOSIS_LeafTraits,Ccar_spxyG_block2deg,RMSEP,64.29414172192388,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,RMSEP,68.48299411322476,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,ECOSIS_LeafTraits,Chla+b_spxyG_species,RMSEP,65.10231168682624,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,FUSARIUM,Fv_Fm_grp70_30,RMSEP,0.0315504531041416,True,True
