scope,subset_size,random_trials_ok,spearman_mean,spearman_p05,spearman_p50,spearman_p95,regret_abs_mean,regret_abs_p50,regret_abs_p95,oracle_hit_rate,winner_rank_p50,winner_rank_p95,eligible_candidates_p50
all_candidates,10,500,0.9143044004533497,0.8129185454847836,0.9330560515599229,0.9653401492784858,0.01186124073293799,0.0,0.057926778889699444,0.624,1.0,7.0,168.0
no_tabpfn,10,500,0.9066928576478334,0.7944064066640009,0.9276790982489068,0.960813252258389,0.023849846671883,0.01573604071000001,0.06270943162499987,0.206,4.5,27.0,164.0
all_candidates,19,500,0.9471280842088994,0.8931478556462613,0.954590261032767,0.975220967097968,0.0052438207203559925,0.0,0.015951467118999973,0.7,1.0,2.0,159.0
no_tabpfn,19,500,0.9409746959464315,0.8823990648704936,0.9514187148333897,0.9742651477298317,0.018052105451809027,0.008148648120000157,0.058609871638499955,0.234,3.0,18.0,155.0
