source,model,dataset_group,dataset,task,metric_name,metric_value,lower_is_better
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,FUSARIUM,Fv_Fm_grp70_30,regression,RMSEP,0.0312437833300191,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,GRAPEVINES,grapevine_chloride_556_KS,regression,RMSEP,999.9623686959302,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,BEEFMARBLING,Beef_Marbling_RandomSplit,regression,RMSEP,74.82383662125208,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,MILK,Milk_Lactose_1224_KS,regression,RMSEP,0.0588361629987956,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,MILK,Milk_Urea_1224_KS,regression,RMSEP,4.410214962452098,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,BERRY,ph_groupSampleID_stratDateVar_balRows,regression,RMSEP,0.340482309324476,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,BERRY,ta_groupSampleID_stratDateVar_balRows,regression,RMSEP,2.1787115855745847,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,ECOSIS_LeafTraits,Ccar_spxyG_block2deg,regression,RMSEP,70.98125640039986,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,GRAPEVINE_LeafTraits,LMA_spxyG70_30_byCultivar_ASD,regression,RMSEP,0.3177031876622876,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,LUCAS,LUCAS_pH_Organic_1763_LiuRandomOrganic,regression,RMSEP,0.5152297573011926,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,COLZA,N_woOutlier,regression,RMSEP,0.3537750581711363,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,COLZA,C_woOutlier,regression,RMSEP,1.601807477386274,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,COLZA,N_wOutlier,regression,RMSEP,0.3511313039469382,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,BERRY,brix_groupSampleID_stratDateVar_balRows,regression,RMSEP,4.427724806691203,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,regression,RMSEP,42.137258929172674,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,ECOSIS_LeafTraits,Chla+b_spxyG_species,regression,RMSEP,49.62585242726549,True
