size,added,spearman,kendall,pairwise_agreement,rank_mae,agg_mae,composite,subset_str
15,grapevine_chloride_556_KS,0.9955549579833642,0.952011423448748,0.9726870078740157,2.421875,0.050302104030289715,0.9731164073886605,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a|Malaria_Sporozoite_229_Maia|Chla+b_spxyG_block2deg|DIESEL_bp50_246_hla-b|Beef_Marbling_RandomSplit|All_manure_Total_N_SPXY_strat_Manure_type|WOOD_Density_402_Olale|Milk_Urea_1224_KS|grapevine_chloride_556_KS
16,WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,0.9959498185017963,0.9525042467558265,0.9717027559055118,2.296875,0.04964539273606207,0.973159758562317,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a|Malaria_Sporozoite_229_Maia|Chla+b_spxyG_block2deg|DIESEL_bp50_246_hla-b|Beef_Marbling_RandomSplit|All_manure_Total_N_SPXY_strat_Manure_type|WOOD_Density_402_Olale|Milk_Urea_1224_KS|grapevine_chloride_556_KS|WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra
17,Corn_Starch_80_ZhengChenPelegYbaseSplit,0.9960928839070254,0.9549683632912185,0.9742864173228346,2.265625,0.055852059778381424,0.974420984758107,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a|Malaria_Sporozoite_229_Maia|Chla+b_spxyG_block2deg|DIESEL_bp50_246_hla-b|Beef_Marbling_RandomSplit|All_manure_Total_N_SPXY_strat_Manure_type|WOOD_Density_402_Olale|Milk_Urea_1224_KS|grapevine_chloride_556_KS|WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra|Corn_Starch_80_ZhengChenPelegYbaseSplit
18,An_spxyG70_30_byCultivar_ASD,0.9961887322993715,0.9566289974071207,0.9746555118110236,2.2109375,0.059234700360150085,0.9748991106671846,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a|Malaria_Sporozoite_229_Maia|Chla+b_spxyG_block2deg|DIESEL_bp50_246_hla-b|Beef_Marbling_RandomSplit|All_manure_Total_N_SPXY_strat_Manure_type|WOOD_Density_402_Olale|Milk_Urea_1224_KS|grapevine_chloride_556_KS|WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra|Corn_Starch_80_ZhengChenPelegYbaseSplit|An_spxyG70_30_byCultivar_ASD
19,ph_groupSampleID_stratDateVar_balRows,0.9964305182633658,0.9581717147872283,0.9760088582677166,2.140625,0.060840506195375704,0.975784353912061,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a|Malaria_Sporozoite_229_Maia|Chla+b_spxyG_block2deg|DIESEL_bp50_246_hla-b|Beef_Marbling_RandomSplit|All_manure_Total_N_SPXY_strat_Manure_type|WOOD_Density_402_Olale|Milk_Urea_1224_KS|grapevine_chloride_556_KS|WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra|Corn_Starch_80_ZhengChenPelegYbaseSplit|An_spxyG70_30_byCultivar_ASD|ph_groupSampleID_stratDateVar_balRows
20,ALPINE_P_291_KS,0.9966422550631048,0.9586645380943067,0.9760088582677166,2.0625,0.051625057895573034,0.9764776680390703,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a|Malaria_Sporozoite_229_Maia|Chla+b_spxyG_block2deg|DIESEL_bp50_246_hla-b|Beef_Marbling_RandomSplit|All_manure_Total_N_SPXY_strat_Manure_type|WOOD_Density_402_Olale|Milk_Urea_1224_KS|grapevine_chloride_556_KS|WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra|Corn_Starch_80_ZhengChenPelegYbaseSplit|An_spxyG70_30_byCultivar_ASD|ph_groupSampleID_stratDateVar_balRows|ALPINE_P_291_KS
21,LP_spxyG,0.996361846868856,0.9596501847084636,0.9761318897637795,1.984375,0.05452250308027719,0.9765532359352015,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a|Malaria_Sporozoite_229_Maia|Chla+b_spxyG_block2deg|DIESEL_bp50_246_hla-b|Beef_Marbling_RandomSplit|All_manure_Total_N_SPXY_strat_Manure_type|WOOD_Density_402_Olale|Milk_Urea_1224_KS|grapevine_chloride_556_KS|WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra|Corn_Starch_80_ZhengChenPelegYbaseSplit|An_spxyG70_30_byCultivar_ASD|ph_groupSampleID_stratDateVar_balRows|ALPINE_P_291_KS|LP_spxyG
22,Rd25_spxy70,0.9964877444254575,0.9586645380943067,0.9769931102362205,2.015625,0.048926145433535934,0.9768460849976642,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a|Malaria_Sporozoite_229_Maia|Chla+b_spxyG_block2deg|DIESEL_bp50_246_hla-b|Beef_Marbling_RandomSplit|All_manure_Total_N_SPXY_strat_Manure_type|WOOD_Density_402_Olale|Milk_Urea_1224_KS|grapevine_chloride_556_KS|WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra|Corn_Starch_80_ZhengChenPelegYbaseSplit|An_spxyG70_30_byCultivar_ASD|ph_groupSampleID_stratDateVar_balRows|ALPINE_P_291_KS|LP_spxyG|Rd25_spxy70
23,Milk_Lactose_1224_KS,0.9964247956471565,0.9584181264407675,0.9769931102362205,2.046875,0.046906095796096364,0.9768479844721543,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a|Malaria_Sporozoite_229_Maia|Chla+b_spxyG_block2deg|DIESEL_bp50_246_hla-b|Beef_Marbling_RandomSplit|All_manure_Total_N_SPXY_strat_Manure_type|WOOD_Density_402_Olale|Milk_Urea_1224_KS|grapevine_chloride_556_KS|WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra|Corn_Starch_80_ZhengChenPelegYbaseSplit|An_spxyG70_30_byCultivar_ASD|ph_groupSampleID_stratDateVar_balRows|ALPINE_P_291_KS|LP_spxyG|Rd25_spxy70|Milk_Lactose_1224_KS
24,brix_groupSampleID_stratDateVar_balRows,0.996647977679314,0.9601430080155421,0.9757627952755905,2.0,0.05048686142981563,0.9769065889875748,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a|Malaria_Sporozoite_229_Maia|Chla+b_spxyG_block2deg|DIESEL_bp50_246_hla-b|Beef_Marbling_RandomSplit|All_manure_Total_N_SPXY_strat_Manure_type|WOOD_Density_402_Olale|Milk_Urea_1224_KS|grapevine_chloride_556_KS|WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra|Corn_Starch_80_ZhengChenPelegYbaseSplit|An_spxyG70_30_byCultivar_ASD|ph_groupSampleID_stratDateVar_balRows|ALPINE_P_291_KS|LP_spxyG|Rd25_spxy70|Milk_Lactose_1224_KS|brix_groupSampleID_stratDateVar_balRows
25,LUCAS_SOC_Cropland_8731_NocitaKS,0.9964591313444116,0.9598965963620029,0.9763779527559056,2.015625,0.05622676708008577,0.9766546789191328,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a|Malaria_Sporozoite_229_Maia|Chla+b_spxyG_block2deg|DIESEL_bp50_246_hla-b|Beef_Marbling_RandomSplit|All_manure_Total_N_SPXY_strat_Manure_type|WOOD_Density_402_Olale|Milk_Urea_1224_KS|grapevine_chloride_556_KS|WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra|Corn_Starch_80_ZhengChenPelegYbaseSplit|An_spxyG70_30_byCultivar_ASD|ph_groupSampleID_stratDateVar_balRows|ALPINE_P_291_KS|LP_spxyG|Rd25_spxy70|Milk_Lactose_1224_KS|brix_groupSampleID_stratDateVar_balRows|LUCAS_SOC_Cropland_8731_NocitaKS
26,Ccar_spxyG_block2deg,0.9969913346518636,0.9623607128973949,0.9788385826771654,1.9375,0.04133001916303511,0.9790898215749618,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a|Malaria_Sporozoite_229_Maia|Chla+b_spxyG_block2deg|DIESEL_bp50_246_hla-b|Beef_Marbling_RandomSplit|All_manure_Total_N_SPXY_strat_Manure_type|WOOD_Density_402_Olale|Milk_Urea_1224_KS|grapevine_chloride_556_KS|WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra|Corn_Starch_80_ZhengChenPelegYbaseSplit|An_spxyG70_30_byCultivar_ASD|ph_groupSampleID_stratDateVar_balRows|ALPINE_P_291_KS|LP_spxyG|Rd25_spxy70|Milk_Lactose_1224_KS|brix_groupSampleID_stratDateVar_balRows|LUCAS_SOC_Cropland_8731_NocitaKS|Ccar_spxyG_block2deg
27,LMA_spxyG70_30_byCultivar_ASD,0.9974148082513414,0.9648248294327871,0.9800688976377953,1.8125,0.03776171184765096,0.9805459558293287,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a|Malaria_Sporozoite_229_Maia|Chla+b_spxyG_block2deg|DIESEL_bp50_246_hla-b|Beef_Marbling_RandomSplit|All_manure_Total_N_SPXY_strat_Manure_type|WOOD_Density_402_Olale|Milk_Urea_1224_KS|grapevine_chloride_556_KS|WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra|Corn_Starch_80_ZhengChenPelegYbaseSplit|An_spxyG70_30_byCultivar_ASD|ph_groupSampleID_stratDateVar_balRows|ALPINE_P_291_KS|LP_spxyG|Rd25_spxy70|Milk_Lactose_1224_KS|brix_groupSampleID_stratDateVar_balRows|LUCAS_SOC_Cropland_8731_NocitaKS|Ccar_spxyG_block2deg|LMA_spxyG70_30_byCultivar_ASD
28,An_spxyG70_30_byCultivar_NeoSpectra,0.9975449942813162,0.9669789247361004,0.9805610236220472,1.71875,0.03932564606007902,0.9813136999169667,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a|Malaria_Sporozoite_229_Maia|Chla+b_spxyG_block2deg|DIESEL_bp50_246_hla-b|Beef_Marbling_RandomSplit|All_manure_Total_N_SPXY_strat_Manure_type|WOOD_Density_402_Olale|Milk_Urea_1224_KS|grapevine_chloride_556_KS|WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra|Corn_Starch_80_ZhengChenPelegYbaseSplit|An_spxyG70_30_byCultivar_ASD|ph_groupSampleID_stratDateVar_balRows|ALPINE_P_291_KS|LP_spxyG|Rd25_spxy70|Milk_Lactose_1224_KS|brix_groupSampleID_stratDateVar_balRows|LUCAS_SOC_Cropland_8731_NocitaKS|Ccar_spxyG_block2deg|LMA_spxyG70_30_byCultivar_ASD|An_spxyG70_30_byCultivar_NeoSpectra
29,Biscuit_Fat_40_RandomSplit,0.9974262534837598,0.9665497110075615,0.9795767716535433,1.78125,0.03300395709185222,0.9811582483372427,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a|Malaria_Sporozoite_229_Maia|Chla+b_spxyG_block2deg|DIESEL_bp50_246_hla-b|Beef_Marbling_RandomSplit|All_manure_Total_N_SPXY_strat_Manure_type|WOOD_Density_402_Olale|Milk_Urea_1224_KS|grapevine_chloride_556_KS|WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra|Corn_Starch_80_ZhengChenPelegYbaseSplit|An_spxyG70_30_byCultivar_ASD|ph_groupSampleID_stratDateVar_balRows|ALPINE_P_291_KS|LP_spxyG|Rd25_spxy70|Milk_Lactose_1224_KS|brix_groupSampleID_stratDateVar_balRows|LUCAS_SOC_Cropland_8731_NocitaKS|Ccar_spxyG_block2deg|LMA_spxyG70_30_byCultivar_ASD|An_spxyG70_30_byCultivar_NeoSpectra|Biscuit_Fat_40_RandomSplit
30,Rd25_CBtestSite,0.9978153913859827,0.9695066508500321,0.9812992125984252,1.609375,0.032031460318134815,0.9827663425730235,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a|Malaria_Sporozoite_229_Maia|Chla+b_spxyG_block2deg|DIESEL_bp50_246_hla-b|Beef_Marbling_RandomSplit|All_manure_Total_N_SPXY_strat_Manure_type|WOOD_Density_402_Olale|Milk_Urea_1224_KS|grapevine_chloride_556_KS|WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra|Corn_Starch_80_ZhengChenPelegYbaseSplit|An_spxyG70_30_byCultivar_ASD|ph_groupSampleID_stratDateVar_balRows|ALPINE_P_291_KS|LP_spxyG|Rd25_spxy70|Milk_Lactose_1224_KS|brix_groupSampleID_stratDateVar_balRows|LUCAS_SOC_Cropland_8731_NocitaKS|Ccar_spxyG_block2deg|LMA_spxyG70_30_byCultivar_ASD|An_spxyG70_30_byCultivar_NeoSpectra|Biscuit_Fat_40_RandomSplit|Rd25_CBtestSite
