variant,median_rmsep,median_delta_pct_vs_control,wins_vs_control,losses_vs_control,n_pairs,wilcoxon_p_vs_control,n_ref_datasets_ridge,n_ref_pairs_ridge,med_delta_vs_ridge_pct,n_ref_datasets_pls,n_ref_pairs_pls,med_delta_vs_pls_pct,n_ref_datasets_tabpfn_raw,n_ref_pairs_tabpfn_raw,med_delta_vs_tabpfn_raw_pct,n_ref_datasets_tabpfn_opt,n_ref_pairs_tabpfn_opt,med_delta_vs_tabpfn_opt_pct,n_ref_datasets_cnn,n_ref_pairs_cnn,med_delta_vs_cnn_pct,n_ref_datasets_catboost,n_ref_pairs_catboost,med_delta_vs_catboost_pct,n_ref_datasets_aom_ridge_curated_best,n_ref_pairs_aom_ridge_curated_best,med_delta_vs_aom_ridge_curated_best_pct
Ridge-baseline,0.5043346218877496,0.0,-1,-1,18,,6,18,13.491215910920163,6,18,19.654069988524142,6,18,-14.937675697663499,6,18,58.34112250895319,4,12,-37.98933140237617,6,18,-23.234570720013416,6,18,76.62218423461799
Stack-Ridge-PLS-V1aHead,0.5076094535722,0.34002393444873874,7,11,18,0.28372955322265625,6,18,23.59135666745372,6,18,19.743463738265405,6,18,-15.35237721957166,6,18,39.873839834848745,4,12,-37.70086193912855,6,18,-22.728427280576142,6,18,50.47362530648905
Stack-Ridge-PLS-V1c,0.49571016819174296,0.5173352432087771,8,10,18,0.15404510498046875,6,18,24.605547657048522,6,18,17.57589601056406,6,18,-13.665504919289711,6,18,36.62586991773086,4,12,-36.853838302133084,6,18,-22.15250284712344,6,18,49.663643857267445
Stack-Ridge-PLS,0.5104725228239755,0.6915297877655762,5,13,18,0.03423309326171875,6,18,24.76124627600227,6,18,21.479245783154376,6,18,-13.598932915915206,6,18,39.571980606807536,4,12,-37.166970007823124,6,18,-22.15786664569254,6,18,50.01496856128209
PLS-baseline,0.5043359429205891,1.9607512345198463,5,13,18,0.010740682225094693,6,18,23.799629220395673,6,18,20.053872359715406,6,18,-6.459167672451476,6,18,50.59060964281845,4,12,-37.00738127095467,6,18,-17.61498048907625,6,18,68.48702619174205
NiconV1c-concat-bjerrum,1.218024627750591,137.9077010419297,0,18,18,7.62939453125e-06,6,18,203.51842348050891,6,18,148.39273095622048,6,18,112.42400598791767,6,18,237.16462249105183,4,12,18.928724943599363,6,18,68.76108291710005,6,18,316.1481775053783
