variant,median_rmsep,median_delta_pct_vs_control,wins_vs_control,losses_vs_control,n_pairs,wilcoxon_p_vs_control,n_ref_datasets_ridge,n_ref_pairs_ridge,med_delta_vs_ridge_pct,n_ref_datasets_pls,n_ref_pairs_pls,med_delta_vs_pls_pct,n_ref_datasets_tabpfn_raw,n_ref_pairs_tabpfn_raw,med_delta_vs_tabpfn_raw_pct,n_ref_datasets_tabpfn_opt,n_ref_pairs_tabpfn_opt,med_delta_vs_tabpfn_opt_pct,n_ref_datasets_cnn,n_ref_pairs_cnn,med_delta_vs_cnn_pct,n_ref_datasets_catboost,n_ref_pairs_catboost,med_delta_vs_catboost_pct,n_ref_datasets_aom_ridge_curated_best,n_ref_pairs_aom_ridge_curated_best,med_delta_vs_aom_ridge_curated_best_pct
Stack-Ridge-PLS-V1aHead,0.4308122351449017,-0.0306625215452569,19,18,37,0.9881085285160225,37,37,2.404292207116693,37,37,-1.0996901324940105,37,37,-1.1563401721316646,37,37,5.430721392075195,33,33,-11.309188100915472,37,37,-6.690397897409247,37,37,7.765025610759209
Ridge-baseline,0.3945842071476687,0.0,-1,-1,37,,39,39,2.6067284028434443,39,39,-0.03754985802262208,39,39,-0.9269984314111666,39,39,7.488055949483198,34,34,-10.122771332913947,39,39,-2.847527607398927,39,39,8.829931125196321
Stack-Ridge-PLS-V1c,0.395497770703811,0.3809235007448228,16,21,37,0.24859463758184575,38,38,4.867174136022483,38,38,2.3008181008379966,38,38,0.1251601162241114,38,38,6.898657705315517,34,34,-6.416439828959747,38,38,-0.39602793966761474,38,38,9.286623498536756
Stack-Ridge-PLS,0.3953855487821307,0.5348488817346698,15,22,37,0.4642457077279687,38,38,4.2535446131850145,38,38,1.433821824517987,38,38,-0.31515143891177855,38,38,7.356779939717914,34,34,-8.200933736559406,38,38,-0.9606210977451056,38,38,9.664123711219496
PLS-baseline,0.4031967428165416,2.8824953003838685,7,30,37,0.0002882810222217813,38,38,6.593544606966267,38,38,4.688776794592038,38,38,1.3935172553756239,38,38,10.066929968384972,34,34,-7.387354906123007,38,38,0.2424721862141399,38,38,12.57950706194346
NiconV1c-concat-bjerrum,1.332433061361562,56.334066239130244,3,34,37,1.103180693462491e-07,39,39,74.75765921284938,39,39,63.23302742070914,39,39,43.715713897553854,39,39,70.86259844110756,34,34,16.281119718338804,39,39,37.02875315676276,39,39,72.27941910629599
