dataset,database_name,pipeline,n_train,n_test,n_features,ref_rmse_pls,ref_rmse_paper_ridge,ref_rmse_tabpfn_raw,ref_rmse_tabpfn_opt,ref_rmse_cnn,ref_rmse_catboost,ref_rmse_aom_ridge_curated_best,status,error_message,rmsep,fit_time_s,predict_time_s,selected_operators,relative_rmsep_vs_pls,relative_rmsep_vs_paper_ridge,relative_rmsep_vs_tabpfn_raw,relative_rmsep_vs_tabpfn_opt,relative_rmsep_vs_cnn,relative_rmsep_vs_catboost,relative_rmsep_vs_aom_ridge_curated_best
All_manure_K2O_SPXY_strat_Manure_type,MANURE21,AOMPLS-compact-with-fck,343,147,1003,2.36091887824198,2.341854235430136,2.6794924408313463,2.658345589992729,2.83999836949951,2.9866502830487853,2.3304245345506924,OK,,2.4855978729095995,4.704232417978346,0.00021462095901370049,"sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3",0.05280952082540846,0.06138026667277252,-0.07236242393040249,-0.06498316762629874,-0.12478897889380347,-0.1677640040358891,0.06658586710632308
All_manure_K2O_SPXY_strat_Manure_type,MANURE21,AOMPLS-fck-only,343,147,1003,2.36091887824198,2.341854235430136,2.6794924408313463,2.658345589992729,2.83999836949951,2.9866502830487853,2.3304245345506924,OK,,2.448400122601954,1.5892582399537787,0.00022941792849451303,"fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31",0.03705389675443471,0.04549637870704126,-0.08624481066186296,-0.07897598723849497,-0.1378867858176155,-0.1802186762547182,0.05062407570044192
All_manure_MgO_SPXY_strat_Manure_type,MANURE21,PLS-baseline,343,147,1003,0.7826806868853714,0.7736696013360851,0.7834426914589188,0.7508986236686556,1.0005233617630638,0.8518912219363179,0.7376199328405435,OK,,0.8206712768317607,0.020603989018127322,0.0006282370304688811,,0.04853906654777762,0.06075161207640356,0.047519219693676895,0.09291887208717697,-0.17975800646411522,-0.036647807021177536,0.11259368177780926
All_manure_MgO_SPXY_strat_Manure_type,MANURE21,AOMPLS-compact,343,147,1003,0.7826806868853714,0.7736696013360851,0.7834426914589188,0.7508986236686556,1.0005233617630638,0.8518912219363179,0.7376199328405435,OK,,0.746582203567358,2.972401992068626,0.00024613598361611366,"sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3",-0.04612159712495911,-0.03501158339677379,-0.047049373608833434,-0.005748339343344178,-0.2538083246234505,-0.1236179170030609,0.01215025560968952
All_manure_MgO_SPXY_strat_Manure_type,MANURE21,AOMPLS-compact-with-fck,343,147,1003,0.7826806868853714,0.7736696013360851,0.7834426914589188,0.7508986236686556,1.0005233617630638,0.8518912219363179,0.7376199328405435,OK,,0.746582203567358,5.1403528429800645,0.0002483360003679991,"sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3",-0.04612159712495911,-0.03501158339677379,-0.047049373608833434,-0.005748339343344178,-0.2538083246234505,-0.1236179170030609,0.01215025560968952
All_manure_MgO_SPXY_strat_Manure_type,MANURE21,AOMPLS-fck-only,343,147,1003,0.7826806868853714,0.7736696013360851,0.7834426914589188,0.7508986236686556,1.0005233617630638,0.8518912219363179,0.7376199328405435,OK,,0.8400229236840967,1.6877654490526766,0.00019134697504341602,"identity,identity,identity,identity,identity,identity,identity,identity,identity,identity,identity,identity",0.07326389645171272,0.08576441705015037,0.07222000133770456,0.11869018960243616,-0.1604164822260048,-0.013931706239729835,0.13882893653538297
All_manure_P2O5_SPXY_strat_Manure_type,MANURE21,PLS-baseline,343,147,1003,2.3003293127604723,2.54687928995717,2.3950313126089853,2.2951036862227383,3.074293528724575,2.5134006603653662,2.470420846247388,OK,,2.6174293769170665,0.03731653792783618,0.000597552047111094,,0.13784985584349374,0.027700600981793277,0.09285810299733233,0.14044057905933172,-0.1486078500763871,0.041389627285519204,0.05950748468342426
All_manure_P2O5_SPXY_strat_Manure_type,MANURE21,AOMPLS-compact,343,147,1003,2.3003293127604723,2.54687928995717,2.3950313126089853,2.2951036862227383,3.074293528724575,2.5134006603653662,2.470420846247388,OK,,2.484911312503679,2.992724883952178,0.00029833801090717316,"sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3",0.08024155442409331,-0.024330944029362755,0.037527693029108855,0.0827011116841192,-0.19171305885857037,-0.011334980654276627,0.005865586132137057
All_manure_P2O5_SPXY_strat_Manure_type,MANURE21,AOMPLS-compact-with-fck,343,147,1003,2.3003293127604723,2.54687928995717,2.3950313126089853,2.2951036862227383,3.074293528724575,2.5134006603653662,2.470420846247388,OK,,2.484911312503679,4.580162390018813,0.00024049391504377127,"sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3",0.08024155442409331,-0.024330944029362755,0.037527693029108855,0.0827011116841192,-0.19171305885857037,-0.011334980654276627,0.005865586132137057
All_manure_P2O5_SPXY_strat_Manure_type,MANURE21,AOMPLS-fck-only,343,147,1003,2.3003293127604723,2.54687928995717,2.3950313126089853,2.2951036862227383,3.074293528724575,2.5134006603653662,2.470420846247388,OK,,2.491440746354923,1.1906581679359078,0.00020692800171673298,"fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31",0.08308003229551097,-0.02176724425882748,0.04025393456794335,0.08554605236825474,-0.18958917778142637,-0.008737132267344516,0.008508631288253854
