dataset,database_name,pipeline,n_train,n_test,n_features,ref_rmse_pls,ref_rmse_paper_ridge,ref_rmse_tabpfn_raw,ref_rmse_tabpfn_opt,ref_rmse_cnn,ref_rmse_catboost,ref_rmse_aom_ridge_curated_best,status,error_message,rmsep,fit_time_s,predict_time_s,relative_rmsep_vs_pls,relative_rmsep_vs_paper_ridge,relative_rmsep_vs_tabpfn_raw,relative_rmsep_vs_tabpfn_opt,relative_rmsep_vs_cnn,relative_rmsep_vs_catboost,relative_rmsep_vs_aom_ridge_curated_best
All_manure_K2O_SPXY_strat_Manure_type,MANURE21,PLS-baseline,343,147,1003,2.36091887824198,2.341854235430136,2.6794924408313463,2.658345589992729,2.83999836949951,2.9866502830487853,2.3304245345506924,OK,,2.7839191459868,0.0152571239741519,0.0006036029662936,0.1791676417360856,0.1887670478668663,0.0389725694180551,0.0472374835186175,-0.0197462167989177,-0.067879101283675,0.1945974240798755
All_manure_K2O_SPXY_strat_Manure_type,MANURE21,FCK-PLS,343,147,1003,2.36091887824198,2.341854235430136,2.6794924408313463,2.658345589992729,2.83999836949951,2.9866502830487853,2.3304245345506924,OK,,3.4403805193404486,0.4286672259913757,0.03516665706411,0.4572209791055051,0.4690839708512186,0.2839672420471644,0.2941810621958518,0.211402286807208,0.151919439268428,0.4762891775011957
All_manure_K2O_SPXY_strat_Manure_type,MANURE21,FCK-AOMPLS,343,147,1003,2.36091887824198,2.341854235430136,2.6794924408313463,2.658345589992729,2.83999836949951,2.9866502830487853,2.3304245345506924,OK,,2.6110976842805123,141.10873179801274,0.1353842079406604,0.1059667099721883,0.1149701995867062,-0.0255252657214489,-0.01777342490385,-0.0805988790970104,-0.1257437474014893,0.120438634921913
All_manure_K2O_SPXY_strat_Manure_type,MANURE21,Concat-SNV-FCK-AOMPLS,343,147,1003,2.36091887824198,2.341854235430136,2.6794924408313463,2.658345589992729,2.83999836949951,2.9866502830487853,2.3304245345506924,OK,,2.82514837275894,142.3031883870717,0.1238059509778395,0.1966308536880527,0.2063724249003209,0.0543595233589844,0.0627468390092453,-0.0052288750937511,-0.0540745969511312,0.2122891476954136
Rd25_GTtestSite,DarkResp,PLS-baseline,297,173,2151,0.2611671026431517,0.1967872404012098,0.3762790212350022,0.283656162595822,0.3110374714927551,0.3073737580103328,0.1899984521212086,OK,,0.2504109498184599,0.5500642800470814,0.0051647649379447,-0.0411849452547189,0.2724958656258511,-0.3345072786769378,-0.1172025048676018,-0.1949170991627848,-0.1853209869333022,0.3179631045557751
Rd25_GTtestSite,DarkResp,FCK-PLS,297,173,2151,0.2611671026431517,0.1967872404012098,0.3762790212350022,0.283656162595822,0.3110374714927551,0.3073737580103328,0.1899984521212086,OK,,0.2267645296693758,1.7694820950273424,0.1478150530019775,-0.1317262879803897,0.1523335009274402,-0.3973500597373144,-0.2005654747840266,-0.2709414445112674,-0.2622514975343052,0.193507247757537
Rd25_GTtestSite,DarkResp,FCK-AOMPLS,297,173,2151,0.2611671026431517,0.1967872404012098,0.3762790212350022,0.283656162595822,0.3110374714927551,0.3073737580103328,0.1899984521212086,OK,,0.2319240731887384,170.95953433203977,0.1915834189858287,-0.1119705704066785,0.17855239351846,-0.3836380449073933,-0.1823760461738882,-0.2543532710844438,-0.2454656028868216,0.2206629611949868
Rd25_GTtestSite,DarkResp,Concat-SNV-FCK-AOMPLS,297,173,2151,0.2611671026431517,0.1967872404012098,0.3762790212350022,0.283656162595822,0.3110374714927551,0.3073737580103328,0.1899984521212086,OK,,0.2162527181681858,156.41553992195986,0.1836265589809045,-0.1719756585741775,0.0989163612807917,-0.4252862743758258,-0.2376237618488776,-0.3047374095142651,-0.2964502904606572,0.1381814733428905
MP_spxyG,PHOSPHORUS,PLS-baseline,169,88,2101,0.0212033895694146,0.0210804207437171,0.0199865693618074,0.0213239925416399,0.0197390386259831,0.0192216436712246,0.0202302853163818,OK,,0.0244018684832404,0.0154028750257566,0.0006370110204443,0.1508475285687158,0.1575607896969189,0.2209133064061677,0.14433863337695,0.2362237566686533,0.269499575614901,0.2062048607629212
MP_spxyG,PHOSPHORUS,FCK-PLS,169,88,2101,0.0212033895694146,0.0210804207437171,0.0199865693618074,0.0213239925416399,0.0197390386259831,0.0192216436712246,0.0202302853163818,OK,,0.0247735559482882,1.0107214309973642,0.0888375159120187,0.1683771534351059,0.1751926704627973,0.239510168044565,0.161769115230757,0.2550538259587809,0.288836499730511,0.2245776844396485
MP_spxyG,PHOSPHORUS,FCK-AOMPLS,169,88,2101,0.0212033895694146,0.0210804207437171,0.0199865693618074,0.0213239925416399,0.0197390386259831,0.0192216436712246,0.0202302853163818,OK,,0.0227723611294078,115.12391072604804,0.0580743460450321,0.0739962615343583,0.0802612246814409,0.1393831886388614,0.0679220171804,0.1536712380425626,0.1847249651963334,0.1256569432052252
MP_spxyG,PHOSPHORUS,Concat-SNV-FCK-AOMPLS,169,88,2101,0.0212033895694146,0.0210804207437171,0.0199865693618074,0.0213239925416399,0.0197390386259831,0.0192216436712246,0.0202302853163818,OK,,0.022355810749006,128.81240455596708,0.0591501729795709,0.0543507997067507,0.0605011646017112,0.1185416738765621,0.0483876649905641,0.1325683673154387,0.1630540619413003,0.1050665079302208
An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,GRAPEVINE_LeafTraits,PLS-baseline,80,35,276,4.202132209872175,4.127200381549012,4.005316833851728,3.6237328654559775,3.5599510921190065,4.163476803765716,3.784572497278767,OK,,3.468681335957829,0.0028882089536637,0.0002294949954375,-0.1745425506106713,-0.1595558695272336,-0.1339807860787486,-0.0427877923828798,-0.0256379241735174,-0.1668786690920122,-0.0834681226342141
An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,GRAPEVINE_LeafTraits,FCK-PLS,80,35,276,4.202132209872175,4.127200381549012,4.005316833851728,3.6237328654559775,3.5599510921190065,4.163476803765716,3.784572497278767,OK,,4.114553219513785,0.0116498010465875,0.0013906810199841,-0.0208415599472665,-0.0030643440749248,0.0272728451189738,0.1354460641226231,0.1557892546958166,-0.0117506561361605,0.0871910162831561
An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,GRAPEVINE_LeafTraits,FCK-AOMPLS,80,35,276,4.202132209872175,4.127200381549012,4.005316833851728,3.6237328654559775,3.5599510921190065,4.163476803765716,3.784572497278767,OK,,3.960278861905995,1.4443516760366035,0.0011933910427615,-0.0575549116227205,-0.0404442489367012,-0.0112445466398776,0.0928727389533086,0.1124531656272558,-0.0488048694485185,0.0464270045701507
An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,GRAPEVINE_LeafTraits,Concat-SNV-FCK-AOMPLS,80,35,276,4.202132209872175,4.127200381549012,4.005316833851728,3.6237328654559775,3.5599510921190065,4.163476803765716,3.784572497278767,OK,,4.031750051940152,1.5442471869755536,0.0017384520033374,-0.0405465962093577,-0.0231271372321969,0.0065995323678313,0.1125958235977291,0.1325296184168403,-0.031638641941375,0.0653118826073788
Biscuit_Sucrose_40_RandomSplit,BISCUIT,PLS-baseline,40,32,700,1.5986900396222972,1.1462177673520162,1.5066320314346833,0.9563602522311316,,1.5124326715988914,0.7737680783652301,OK,,1.9993117175428343,0.0020732240518555,0.000260040978901,0.2505937160997056,0.7442686498933178,0.3270073089040852,1.090542463343242,,0.3219178315086457,1.5838643043621778
Biscuit_Sucrose_40_RandomSplit,BISCUIT,FCK-PLS,40,32,700,1.5986900396222972,1.1462177673520162,1.5066320314346833,0.9563602522311316,,1.5124326715988914,0.7737680783652301,OK,,1.6006918450806762,0.1341526469914242,0.0035826129605993,0.0012521535812233,0.3964988946023604,0.0624305150053294,0.6737331370122892,,0.0583557702363572,1.068697184384396
Biscuit_Sucrose_40_RandomSplit,BISCUIT,FCK-AOMPLS,40,32,700,1.5986900396222972,1.1462177673520162,1.5066320314346833,0.9563602522311316,,1.5124326715988914,0.7737680783652301,OK,,1.1421796640012798,56.0102308500791,0.0042113119270652,-0.2855527740254586,-0.0035229809428493,-0.2418987249901726,0.1942985515517217,,-0.2448062743885273,0.4761266275217855
Biscuit_Sucrose_40_RandomSplit,BISCUIT,Concat-SNV-FCK-AOMPLS,40,32,700,1.5986900396222972,1.1462177673520162,1.5066320314346833,0.9563602522311316,,1.5124326715988914,0.7737680783652301,OK,,2.008143218313521,60.283928450080566,0.0148078529164195,0.25611792689217,0.751973556432229,0.3328690592096839,1.0997769550006309,,0.3277571002156292,1.5952779320596986
Ccar_spxyG_block2deg,ECOSIS_LeafTraits,PLS-baseline,1016,3229,196,64.29414172192388,66.63105982394346,32.423696411112154,30.400491431444763,6.3384977343867615,39.54812279603111,,OK,,56.20719500584526,0.0237397860037162,0.0256789510603994,-0.1257804599220744,-0.156441528104772,0.7335221220052532,0.8488910000878249,7.86758935022057,0.4212354729384522,
Ccar_spxyG_block2deg,ECOSIS_LeafTraits,FCK-PLS,1016,3229,196,64.29414172192388,66.63105982394346,32.423696411112154,30.400491431444763,6.3384977343867615,39.54812279603111,,OK,,63.35244480283445,0.5926174080232158,0.3978918970096856,-0.0146466986551018,-0.0492055061073913,0.9538933500846154,1.083928312333327,8.994867468224108,0.6019077600616798,
Ccar_spxyG_block2deg,ECOSIS_LeafTraits,FCK-AOMPLS,1016,3229,196,64.29414172192388,66.63105982394346,32.423696411112154,30.400491431444763,6.3384977343867615,39.54812279603111,,OK,,76.14824770178656,42.59463135304395,0.2516151840100065,0.1843730340336826,0.142834106240993,1.348536907583716,1.5048360771899425,11.01361125187083,0.9254579564881014,
Ccar_spxyG_block2deg,ECOSIS_LeafTraits,Concat-SNV-FCK-AOMPLS,1016,3229,196,64.29414172192388,66.63105982394346,32.423696411112154,30.400491431444763,6.3384977343867615,39.54812279603111,,OK,,67.3199428389859,27.85444274893962,0.4186229449696839,0.0470618478764175,0.0103387671884949,1.0762574996203766,1.2144360064309183,9.62080411794909,0.7022285276645761,
DIESEL_bp50_246_b-a,DIESEL,PLS-baseline,113,113,401,3.2879436552500017,2.838465222966137,4.144354634385353,4.32793289222884,8.9960753312349,6.186257544946492,2.7344743390292003,OK,,3.5751315507393167,0.0033468019682914,0.0003292059991508,0.0873457472517054,0.259529805689632,-0.1373490287059996,-0.1739401604034203,-0.6025898606777724,-0.422084915675744,0.3074291829004942
DIESEL_bp50_246_b-a,DIESEL,FCK-PLS,113,113,401,3.2879436552500017,2.838465222966137,4.144354634385353,4.32793289222884,8.9960753312349,6.186257544946492,2.7344743390292003,OK,,3.93285237716472,0.3194000310031697,0.0114512010477483,0.1961434834459416,0.3855559495123815,-0.0510338221217406,-0.0912861924854518,-0.562825762084314,-0.3642598374557753,0.4382480468114285
