variant,median_rmsep,median_delta_pct_vs_control,wins_vs_control,losses_vs_control,n_pairs,wilcoxon_p_vs_control,n_ref_datasets_ridge,n_ref_pairs_ridge,med_delta_vs_ridge_pct,n_ref_datasets_pls,n_ref_pairs_pls,med_delta_vs_pls_pct,n_ref_datasets_tabpfn_raw,n_ref_pairs_tabpfn_raw,med_delta_vs_tabpfn_raw_pct,n_ref_datasets_tabpfn_opt,n_ref_pairs_tabpfn_opt,med_delta_vs_tabpfn_opt_pct,n_ref_datasets_cnn,n_ref_pairs_cnn,med_delta_vs_cnn_pct,n_ref_datasets_catboost,n_ref_pairs_catboost,med_delta_vs_catboost_pct,n_ref_datasets_aom_ridge_curated_best,n_ref_pairs_aom_ridge_curated_best,med_delta_vs_aom_ridge_curated_best_pct
Ridge-baseline,2.8959971638913737,-10.410507935052532,6,4,10,0.76953125,10,10,10.660070519500554,10,10,8.668987213308725,10,10,10.065089990502804,10,10,34.71945964240462,9,9,4.4672804070698025,10,10,3.107105294509415,7,7,7.621422799848308
PLS-baseline,2.873588232619184,-7.291504320247712,6,4,10,0.845703125,10,10,6.12956006939296,10,10,3.9550149137164246,10,10,6.549304973333485,10,10,23.07491042924242,9,9,6.624937619799483,10,10,4.014996556847001,7,7,7.191616577619418
V6b-DistillExtended-V2M,3.1820204021895435,-1.1718714136885633,6,4,10,0.921875,10,10,22.60343447490058,10,10,20.762866574373533,10,10,14.12556096818145,10,10,41.21064786505809,9,9,4.526324566591228,10,10,15.4198376842837,7,7,22.897101694295156
V6-Distill-V2M,3.190047608826046,-0.8861511357437034,6,4,10,1.0,10,10,26.378474468050893,10,10,23.822717424233282,10,10,17.81881540573142,10,10,45.5163093182158,9,9,11.807789094842496,10,10,20.84138396624759,7,7,28.17809225693853
V6b-DistillExtended-SWA-V2L,3.180730435610819,-0.4952847400157202,6,4,10,0.556640625,10,10,23.573398189896704,10,10,18.169201663772704,10,10,18.327174553179308,10,10,45.24531321023173,9,9,6.604923679903357,10,10,15.264584084419877,7,7,26.050552087049695
V6b-DistillExtended-V2L,3.180730435610819,-0.4952847400157202,6,4,10,0.556640625,10,10,23.573398189896704,10,10,18.169201663772704,10,10,18.327174553179308,10,10,45.24531321023173,9,9,6.604923679903357,10,10,15.264584084419877,7,7,26.050552087049695
V2L-learnableRMS,3.1570072936955036,0.0,-1,-1,10,,10,10,18.08048334183563,10,10,13.122653798950996,10,10,17.962315379349874,10,10,45.50689181382949,9,9,5.505248774299035,10,10,10.204022575546755,7,7,29.375017661778784
V2L-SWA,3.1472562588045916,0.0,1,1,10,1.0,10,10,19.04574409812217,10,10,14.040440291300179,10,10,17.962315379349874,10,10,46.73797883595853,9,9,5.03134466838012,10,10,11.063859068176358,7,7,29.375017661778784
