dataset,database_name,pipeline,n_train,n_test,n_features,ref_rmse_pls,ref_rmse_paper_ridge,ref_rmse_tabpfn_raw,ref_rmse_tabpfn_opt,ref_rmse_cnn,ref_rmse_catboost,ref_rmse_aom_ridge_curated_best,status,error_message,rmsep,fit_time_s,predict_time_s,selected_operators,relative_rmsep_vs_pls,relative_rmsep_vs_paper_ridge,relative_rmsep_vs_tabpfn_raw,relative_rmsep_vs_tabpfn_opt,relative_rmsep_vs_cnn,relative_rmsep_vs_catboost,relative_rmsep_vs_aom_ridge_curated_best
All_manure_K2O_SPXY_strat_Manure_type,MANURE21,PLS-baseline,343,147,1003,2.36091887824198,2.341854235430136,2.6794924408313463,2.658345589992729,2.83999836949951,2.9866502830487853,2.3304245345506924,OK,,2.7839191459868,0.0149754249723628,0.0004546429263427,,0.1791676417360856,0.1887670478668663,0.0389725694180551,0.0472374835186175,-0.0197462167989177,-0.067879101283675,0.1945974240798755
All_manure_K2O_SPXY_strat_Manure_type,MANURE21,AOMPLS-compact,343,147,1003,2.36091887824198,2.341854235430136,2.6794924408313463,2.658345589992729,2.83999836949951,2.9866502830487853,2.3304245345506924,OK,,2.4855978729095995,2.081857319106348,0.0002064480213448,"sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3",0.0528095208254084,0.0613802666727725,-0.0723624239304024,-0.0649831676262987,-0.1247889788938034,-0.1677640040358891,0.066585867106323
All_manure_K2O_SPXY_strat_Manure_type,MANURE21,AOMPLS-compact-with-fck,343,147,1003,2.36091887824198,2.341854235430136,2.6794924408313463,2.658345589992729,2.83999836949951,2.9866502830487853,2.3304245345506924,OK,,2.4855978729095995,3.331276647048071,0.0002042920095846,"sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3",0.0528095208254084,0.0613802666727725,-0.0723624239304024,-0.0649831676262987,-0.1247889788938034,-0.1677640040358891,0.066585867106323
All_manure_K2O_SPXY_strat_Manure_type,MANURE21,AOMPLS-fck-only,343,147,1003,2.36091887824198,2.341854235430136,2.6794924408313463,2.658345589992729,2.83999836949951,2.9866502830487853,2.3304245345506924,OK,,2.448400122601954,1.2731935949996114,0.0002229600213468,"fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31",0.0370538967544347,0.0454963787070412,-0.0862448106618629,-0.0789759872384949,-0.1378867858176155,-0.1802186762547182,0.0506240757004419
All_manure_K2O_SPXY_strat_Manure_type,MANURE21,FCK-AOMPLS-static,343,147,1003,2.36091887824198,2.341854235430136,2.6794924408313463,2.658345589992729,2.83999836949951,2.9866502830487853,2.3304245345506924,OK,,2.4874535202572896,72.2619209389668,0.078705832012929,"sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3",0.0535955060470063,0.0621726504683204,-0.0716698870456503,-0.0642851216857425,-0.124135581565263,-0.1671426901317396,0.0673821371936733
Rd25_GTtestSite,DarkResp,PLS-baseline,297,173,2151,0.2611671026431517,0.1967872404012098,0.3762790212350022,0.283656162595822,0.3110374714927551,0.3073737580103328,0.1899984521212086,OK,,0.2504109498184599,0.3880664180032909,0.0010122410021722,,-0.0411849452547189,0.2724958656258511,-0.3345072786769378,-0.1172025048676018,-0.1949170991627848,-0.1853209869333022,0.3179631045557751
Rd25_GTtestSite,DarkResp,AOMPLS-compact,297,173,2151,0.2611671026431517,0.1967872404012098,0.3762790212350022,0.283656162595822,0.3110374714927551,0.3073737580103328,0.1899984521212086,OK,,0.2085747113420374,22.90882626606617,0.0005899230018258,"detrend_d1,detrend_d1,detrend_d1,detrend_d1,detrend_d1,detrend_d1,detrend_d1,detrend_d1,detrend_d1,detrend_d1,detrend_d1,detrend_d1",-0.201374486942846,0.0598995692850579,-0.4456913631340247,-0.264691768254537,-0.3294225601146077,-0.3214296734628012,0.0977705818833627
Rd25_GTtestSite,DarkResp,AOMPLS-compact-with-fck,297,173,2151,0.2611671026431517,0.1967872404012098,0.3762790212350022,0.283656162595822,0.3110374714927551,0.3073737580103328,0.1899984521212086,OK,,0.2085747113420374,47.35845515306573,0.0005621740128844,"detrend_d1,detrend_d1,detrend_d1,detrend_d1,detrend_d1,detrend_d1,detrend_d1,detrend_d1,detrend_d1,detrend_d1,detrend_d1,detrend_d1",-0.201374486942846,0.0598995692850579,-0.4456913631340247,-0.264691768254537,-0.3294225601146077,-0.3214296734628012,0.0977705818833627
Rd25_GTtestSite,DarkResp,AOMPLS-fck-only,297,173,2151,0.2611671026431517,0.1967872404012098,0.3762790212350022,0.283656162595822,0.3110374714927551,0.3073737580103328,0.1899984521212086,OK,,0.1969875977660104,29.057498738984577,0.000501487054862,"identity,identity,identity,identity,identity,identity,identity,identity,identity,identity,identity,identity,identity,identity",-0.2457411528006784,0.0010181420522599,-0.4764853030618909,-0.305540919811795,-0.3666756715176074,-0.3591268199304495,0.0367852767576399
Rd25_GTtestSite,DarkResp,FCK-AOMPLS-static,297,173,2151,0.2611671026431517,0.1967872404012098,0.3762790212350022,0.283656162595822,0.3110374714927551,0.3073737580103328,0.1899984521212086,OK,,0.3180063971358652,201.19725175295025,0.1809818840119987,"sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3",0.2176357355787512,0.6159909376619839,-0.1548654610290994,0.1210981429971203,0.0224054214743463,0.0345918896732071,0.6737315151019998
MP_spxyG,PHOSPHORUS,PLS-baseline,169,88,2101,0.0212033895694146,0.0210804207437171,0.0199865693618074,0.0213239925416399,0.0197390386259831,0.0192216436712246,0.0202302853163818,OK,,0.0244018684832404,0.0335388130042701,0.0005872409092262,,0.1508475285687158,0.1575607896969189,0.2209133064061677,0.14433863337695,0.2362237566686533,0.269499575614901,0.2062048607629212
MP_spxyG,PHOSPHORUS,AOMPLS-compact,169,88,2101,0.0212033895694146,0.0210804207437171,0.0199865693618074,0.0213239925416399,0.0197390386259831,0.0192216436712246,0.0202302853163818,OK,,0.0226215712534769,6.107435934012756,0.0003350599436089,"detrend_d2,detrend_d2,detrend_d2,detrend_d2,detrend_d2,detrend_d2,detrend_d2,detrend_d2,detrend_d2",0.0668846685771418,0.0731081475315975,0.1318386284293882,0.0608506455488204,0.1460320678282403,0.1768801690639037,0.1182032729493309
MP_spxyG,PHOSPHORUS,AOMPLS-compact-with-fck,169,88,2101,0.0212033895694146,0.0210804207437171,0.0199865693618074,0.0213239925416399,0.0197390386259831,0.0192216436712246,0.0202302853163818,OK,,0.0226215712534769,7.640211346908472,0.0003056530840694,"detrend_d2,detrend_d2,detrend_d2,detrend_d2,detrend_d2,detrend_d2,detrend_d2,detrend_d2,detrend_d2",0.0668846685771418,0.0731081475315975,0.1318386284293882,0.0608506455488204,0.1460320678282403,0.1768801690639037,0.1182032729493309
