database_name,dataset,AOM-PLS PLS-standard,AOM-PLS-best,AOM-Ridge-best,nicon_v2 Stack-Ridge-PLS-V1c,nicon_v2 V1c-concat-bjerrum (CNN-only),nicon_v2 internal PLS,nicon_v2 internal Ridge,paper CNN,paper Catboost,paper PLS,paper Ridge,paper TabPFN-Raw,paper TabPFN-opt
ALPINE,ALPINE_P_291_KS,0.0596920317134281,0.0570306404056327,0.0580812657263183,0.0588576733649361,0.101240254447746,0.0617931284385512,0.0586343214550117,0.0664148023614497,0.0603528865617188,0.0622707496529526,0.0589773153713793,0.0595929243596609,0.0434172262265824
AMYLOSE,Rice_Amylose_313_YbasedSplit,3.2446926368545626,1.8704609146383744,1.9363073759915652,3.802971882087732,5.265099120886008,3.777264866022114,3.704626358954565,4.345497073743923,3.581127726639834,1.9053137710488337,1.8817195843299133,4.51115835426626,1.6324748680589178
BEEFMARBLING,Beef_Marbling_RandomSplit,74.82383662125208,70.66735961681665,,,,,,71.84983848413216,65.97854293540463,74.42331712695719,73.35482910231548,66.26015325958707,61.66147586241889
BEER,Beer_OriginalExtract_60_KS,0.5783836208398858,0.1426024118090958,0.1545753770080473,0.4758236741073197,0.8541968808345511,0.5043380353348204,0.5043346218877496,,0.4457752108607296,0.3785376580667717,0.3741797904845931,0.2509906164760517,0.1299057120433259
BEER,Beer_OriginalExtract_60_YbaseSplit,0.9263079540752552,0.2074260424079046,0.258492607083256,0.3155366359643453,1.7244566332703424,0.3946041097253537,0.3945842071476687,,0.8248772788864936,0.2559337959455767,0.1910032468197337,0.2248612839143847,0.1518057882280002
BERRY,brix_groupSampleID_stratDateVar_balRows,4.427724806691203,3.699332549292051,,,,,,3.177753022430552,3.3154128982840474,3.63450236692312,3.494102191987137,3.17115561094959,2.853174648141779
BERRY,ph_groupSampleID_stratDateVar_balRows,0.340482309324476,0.2989489351563514,,,,,,0.3014082315709076,0.2578402052728352,0.3161983765407297,0.3133418251470631,0.251978582503602,0.2311397916046612
BERRY,ta_groupSampleID_stratDateVar_balRows,2.1787115855745847,1.8360048550874792,,,,,,1.7845840739097385,1.6883051624461078,1.8842455461398468,1.801255958563449,1.6507169013755396,1.5232489464217651
BISCUIT,Biscuit_Fat_40_RandomSplit,0.4196763112966035,0.2740572196551213,0.1868941958191409,0.5988640815258253,1.617887712663774,0.8146630279512442,0.515553140099111,,1.3058914497145615,1.2460131665087948,0.4834005245128199,0.4025310266762831,0.4496367672416956
BISCUIT,Biscuit_Sucrose_40_RandomSplit,1.1544618734444572,0.7578697550591629,0.7737680783652301,1.63936944327854,4.127249056826151,0.953331700608748,0.8083239878104823,,1.5124326715988914,1.5986900396222972,1.1462177673520162,1.5066320314346833,0.9563602522311316
COLZA,C_woOutlier,1.601807477386274,1.3859639793603136,,,,,,1.083652343279137,1.10283466346398,1.6479925765618069,2.249895808738,0.838604593642227,0.7934057539308966
COLZA,N_wOutlier,0.3511313039469382,0.2808326467849152,,,,,,0.2275656278796885,0.2650874523717349,0.273325892100392,0.2677192893391858,0.2167147531633649,0.1753391406618567
COLZA,N_woOutlier,0.3537750581711363,0.2585790093972522,,,,,,0.2284955254602308,0.2540808169377002,0.2380378882249404,0.2263305091990318,0.209232780207432,0.1774593952768322
CORN,Corn_Oil_80_ZhengChenPelegYbaseSplit,0.0662781069598637,0.0221767524674975,0.0259176153714966,0.0346119083855136,0.1584168717992907,0.0372446196406861,0.0441180071954163,0.1400469931426546,0.0934955426164865,0.0234765281539116,0.0425519237170362,0.1102293322720551,0.024732365270999
CORN,Corn_Starch_80_ZhengChenPelegYbaseSplit,0.1972009927466326,0.1289565231260683,0.1090621838714172,0.1373120236572904,0.8866390338774707,0.1361283906991515,0.1465214487957779,0.7391460265739083,0.1903484437835889,0.084406180543604,0.1969116408407737,0.4974513589991104,0.0640284145472728
DIESEL,DIESEL_bp50_246_b-a,3.153566743158967,2.945651849112764,2.7344743390292003,3.5986972873329104,10.422271766740744,3.514009421581955,3.4155561753456456,8.9960753312349,6.186257544946492,3.2879436552500017,2.838465222966137,4.144354634385353,4.32793289222884
DIESEL,DIESEL_bp50_246_hla-b,2.794447585311599,2.7299217516730856,2.4922845978243746,3.033792289870549,9.51329745656079,3.036307845849231,2.827594544605648,8.830814458704207,7.274328543367229,2.959740670399023,2.719963167674533,4.568122576497599,4.204671505294696
DIESEL,DIESEL_bp50_246_hlb-a,3.137451600951606,2.8694085513110474,2.6726566204675217,3.4693766130379267,9.776281577610549,3.546701618883428,3.45486345664562,9.316116492179855,6.045254390410433,3.3371545038764685,2.7879913509722343,3.4955264046807555,2.941691963741545
DarkResp,Rd25_CBtestSite,0.2287753653898592,0.2278641640946068,0.2253153040824769,0.2450500685307491,0.3379612497089407,0.239461003394096,0.245357158069449,0.329324325326808,0.3714565878170351,0.2485778076832695,0.2368010415215184,0.3400336825744706,0.2768014604928451
DarkResp,Rd25_GTtestSite,0.2041572375797028,0.1907353896202484,0.1899984521212086,0.2420071378552287,0.430963053514115,0.265765350006257,0.2275536517956945,0.3110374714927551,0.3073737580103328,0.2611671026431517,0.1967872404012098,0.3762790212350022,0.283656162595822
DarkResp,Rd25_XSBNtestSite,0.3157744227206742,0.2274015416371717,0.2548878497431477,0.2688736194190343,0.3231716137414185,0.288279539571673,0.2698932858140287,0.2797961738540649,0.2792855200781804,0.315774422720676,0.2630907924365289,0.2991961027386562,0.2555386706070408
DarkResp,Rd25_spxy70,0.1785767474579984,0.1754586104291702,0.1695686414130496,0.1778587064884377,0.2221092054533165,0.17412145056277,0.1697489995713745,0.1888844900914862,0.1663522134539291,0.1794124986225498,0.1736482467231991,0.1664553680455906,0.1662338831839056
ECOSIS_LeafTraits,Ccar_spxyG_block2deg,70.98125640039986,8.816424080728046,,,,,,6.3384977343867615,39.54812279603111,64.29414172192388,66.63105982394346,32.423696411112154,30.400491431444763
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,42.137258929172674,13.951962642419916,,,,,,47.58857808223682,55.892551960924,68.48299411322476,72.88079011425634,59.89801078051081,70.2517756389499
