database_name,dataset,task,model,result_label,result_dir,status,status_details,preprocessing_pipeline,RMSECV,RMSE_MF,RMSEP,MAE_test,r2_test,search_mean_score,seed,n_splits,best_config_json,best_model_params_json,best_fold_scores_json,trial_values_json,search_results_path,best_config_path,final_predictions_path,fold_predictions_path,rmse_mf_source,artifact_best_config_format,artifact_search_results_format,artifact_final_predictions_format
LUCAS,LUCAS_SOC_Cropland_8731_NocitaKS,regression,PLS,PLS,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls,partial,missing_fold_test_predictions,SG_15_2_1 + OSC + MinMaxScaler,9.97905146534575,,4.8609064546427785,3.612438012147469,0.4377220370714475,9.97905146534575,42.0,3.0,"{""final_repr"": ""OSC"", ""scaler"": ""MinMaxScaler"", ""scatter"": ""None"", ""shape"": ""SG_15_2_1""}","{""n_components"": 30}","[10.229287651415508, 10.121224403247536, 9.586642341374208]",,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/LUCAS_SOC_Cropland_8731_NocitaKS__phase2_resumed_results.parquet,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/LUCAS_SOC_Cropland_8731_NocitaKS__best_config_from_resumed_phase2.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/LUCAS_SOC_Cropland_8731_NocitaKS__final_predictions_from_resumed_phase2.csv,,,resumed_phase2,resumed_phase2_parquet,resumed_phase2
LUCAS,LUCAS_pH_Organic_1763_LiuRandomOrganic,regression,PLS,PLS,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls,partial,missing_fold_test_predictions,SG_21_2_1 + SNV + AreaNormalization + StandardScaler,0.35567059987381655,,0.3281973936518934,0.23554740332870253,0.9130057130723068,0.35567059987381655,42.0,3.0,"{""final_repr"": ""AreaNormalization"", ""scaler"": ""StandardScaler"", ""scatter"": ""SNV"", ""shape"": ""SG_21_2_1""}","{""n_components"": 30}","[0.3224298087880056, 0.35715477145161567, 0.38742721938182845]",,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/LUCAS_pH_Organic_1763_LiuRandomOrganic__phase2_resumed_results.parquet,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/LUCAS_pH_Organic_1763_LiuRandomOrganic__best_config_from_resumed_phase2.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/LUCAS_pH_Organic_1763_LiuRandomOrganic__final_predictions_from_resumed_phase2.csv,,,resumed_phase2,resumed_phase2_parquet,resumed_phase2
PHOSPHORUS,MP_spxyG,regression,PLS,PLS,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls,partial,missing_fold_test_predictions,StandardScaler,0.0109909864419035,,0.021203389569414692,0.01712155529929994,-0.2671907865317804,0.0109909864419035,42.0,3.0,"{""final_repr"": ""None"", ""scaler"": ""StandardScaler"", ""scatter"": ""None"", ""shape"": ""None""}","{""n_components"": 12}","[0.010667198830290856, 0.012088285348503909, 0.010217475146915731]",,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/MP_spxyG__phase2_resumed_results.parquet,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/MP_spxyG__best_config_from_resumed_phase2.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/MP_spxyG__final_predictions_from_resumed_phase2.csv,,,resumed_phase2,resumed_phase2_parquet,resumed_phase2
MILK,Milk_Fat_1224_KS,regression,PLS,PLS,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls,partial,missing_fold_test_predictions,Gaussian_1_2 + SNV,0.06454707646244938,,0.0847539240564736,0.052811259989967885,0.988116415396084,0.06454707646244938,42.0,3.0,"{""final_repr"": ""None"", ""scaler"": ""None"", ""scatter"": ""SNV"", ""shape"": ""Gaussian_1_2""}","{""n_components"": 11}","[0.07176037569562424, 0.06110695864893978, 0.06077389504278411]",,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/Milk_Fat_1224_KS__phase2_resumed_results.parquet,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/Milk_Fat_1224_KS__best_config_from_resumed_phase2.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/Milk_Fat_1224_KS__final_predictions_from_resumed_phase2.csv,,,resumed_phase2,resumed_phase2_parquet,resumed_phase2
MILK,Milk_Lactose_1224_KS,regression,PLS,PLS,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls,partial,missing_fold_test_predictions,SG_11_2_1,0.05936556638284524,,0.055457686561354275,0.04336916331433014,0.8869428083853231,0.05936556638284524,42.0,3.0,"{""final_repr"": ""None"", ""scaler"": ""None"", ""scatter"": ""None"", ""shape"": ""SG_11_2_1""}","{""n_components"": 21}","[0.05822517647481462, 0.06302813698767783, 0.05684338568604328]",,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/Milk_Lactose_1224_KS__phase2_resumed_results.parquet,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/Milk_Lactose_1224_KS__best_config_from_resumed_phase2.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/Milk_Lactose_1224_KS__final_predictions_from_resumed_phase2.csv,,,resumed_phase2,resumed_phase2_parquet,resumed_phase2
MILK,Milk_Urea_1224_KS,regression,PLS,PLS,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls,partial,missing_fold_test_predictions,SG_21_2_1,4.251302036566748,,4.161019323655071,3.2439060877592554,0.32745418289595696,4.251302036566748,42.0,3.0,"{""final_repr"": ""None"", ""scaler"": ""None"", ""scatter"": ""None"", ""shape"": ""SG_21_2_1""}","{""n_components"": 22}","[4.224338349552481, 4.198887108424977, 4.330680651722784]",,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/Milk_Urea_1224_KS__phase2_resumed_results.parquet,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/Milk_Urea_1224_KS__best_config_from_resumed_phase2.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/Milk_Urea_1224_KS__final_predictions_from_resumed_phase2.csv,,,resumed_phase2,resumed_phase2_parquet,resumed_phase2
PHOSPHORUS,NP_spxyG,regression,PLS,PLS,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls,partial,missing_fold_test_predictions,None,0.0448069197462129,,0.10247758589434838,0.0826270945300376,-0.23341129818467876,0.0448069197462129,42.0,3.0,"{""final_repr"": ""None"", ""scaler"": ""None"", ""scatter"": ""None"", ""shape"": ""None""}","{""n_components"": 16}","[0.04636873699109492, 0.04509345315852139, 0.042958569089022375]",,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/NP_spxyG__phase2_resumed_results.parquet,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/NP_spxyG__best_config_from_resumed_phase2.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/NP_spxyG__final_predictions_from_resumed_phase2.csv,,,resumed_phase2,resumed_phase2_parquet,resumed_phase2
COLZA,N_wOutlier,regression,PLS,PLS,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls,partial,missing_fold_test_predictions,SNV + AreaNormalization + MinMaxScaler,0.3377696447386936,,0.273325892100392,0.19396853484662138,0.965351088115797,0.3377696447386936,42.0,3.0,"{""final_repr"": ""AreaNormalization"", ""scaler"": ""MinMaxScaler"", ""scatter"": ""SNV"", ""shape"": ""None""}","{""n_components"": 15}","[0.3234941555624786, 0.37247116987035456, 0.3173436087832477]",,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/N_wOutlier__phase2_resumed_results.parquet,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/N_wOutlier__best_config_from_resumed_phase2.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/N_wOutlier__final_predictions_from_resumed_phase2.csv,,,resumed_phase2,resumed_phase2_parquet,resumed_phase2
COLZA,N_woOutlier,regression,PLS,PLS,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls,partial,missing_fold_test_predictions,SNV,0.2458130142186413,,0.2380378882249404,0.17477997958496572,0.9737203105087823,0.2458130142186413,42.0,3.0,"{""final_repr"": ""None"", ""scaler"": ""None"", ""scatter"": ""SNV"", ""shape"": ""None""}","{""n_components"": 27}","[0.24666387299043088, 0.2429986028674187, 0.24777656679807422]",,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/N_woOutlier__phase2_resumed_results.parquet,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/N_woOutlier__best_config_from_resumed_phase2.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/N_woOutlier__final_predictions_from_resumed_phase2.csv,,,resumed_phase2,resumed_phase2_parquet,resumed_phase2
PHOSPHORUS,Pi_spxyG,regression,PLS,PLS,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls,partial,missing_fold_test_predictions,AreaNormalization,0.04213292488035585,,0.19341920079082367,0.16057780664578122,-1.7592014044120061,0.04213292488035585,42.0,3.0,"{""final_repr"": ""AreaNormalization"", ""scaler"": ""None"", ""scatter"": ""None"", ""shape"": ""None""}","{""n_components"": 21}","[0.03955842327929195, 0.039008880614147964, 0.047831470747627634]",,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/Pi_spxyG__phase2_resumed_results.parquet,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/Pi_spxyG__best_config_from_resumed_phase2.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/Pi_spxyG__final_predictions_from_resumed_phase2.csv,,,resumed_phase2,resumed_phase2_parquet,resumed_phase2
QUARTZ,Quartz_spxy70,regression,PLS,PLS,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls,partial,missing_fold_test_predictions,None,3.630518570885114e-09,,3.3987655009200003e-09,2.777727827490737e-09,0.9999999999999998,3.630518570885114e-09,42.0,3.0,"{""final_repr"": ""None"", ""scaler"": ""None"", ""scatter"": ""None"", ""shape"": ""None""}","{""n_components"": 2}","[3.373158885945847e-09, 3.563001075780856e-09, 3.9553957509286386e-09]",,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/Quartz_spxy70__phase2_resumed_results.parquet,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/Quartz_spxy70__best_config_from_resumed_phase2.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/Quartz_spxy70__final_predictions_from_resumed_phase2.csv,,,resumed_phase2,resumed_phase2_parquet,resumed_phase2
DarkResp,Rd25_CBtestSite,regression,PLS,PLS,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls,partial,missing_fold_test_predictions,SG_15_2_1,0.17806214023511083,,0.2485778076832695,0.20174971346513235,0.22684171775870388,0.17806214023511083,42.0,3.0,"{""final_repr"": ""None"", ""scaler"": ""None"", ""scatter"": ""None"", ""shape"": ""SG_15_2_1""}","{""n_components"": 16}","[0.18116605606193897, 0.16898558395657182, 0.18403478068682172]",,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/Rd25_CBtestSite__phase2_resumed_results.parquet,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/Rd25_CBtestSite__best_config_from_resumed_phase2.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/Rd25_CBtestSite__final_predictions_from_resumed_phase2.csv,,,resumed_phase2,resumed_phase2_parquet,resumed_phase2
DarkResp,Rd25_GTtestSite,regression,PLS,PLS,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls,partial,missing_fold_test_predictions,AreaNormalization,0.19959996308396133,,0.2611671026431517,0.21243073755997177,-0.21294078862135835,0.19959996308396133,42.0,3.0,"{""final_repr"": ""AreaNormalization"", ""scaler"": ""None"", ""scatter"": ""None"", ""shape"": ""None""}","{""n_components"": 12}","[0.20202548404674575, 0.21106150247482774, 0.18571290273031055]",,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/Rd25_GTtestSite__phase2_resumed_results.parquet,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/Rd25_GTtestSite__best_config_from_resumed_phase2.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/Rd25_GTtestSite__final_predictions_from_resumed_phase2.csv,,,resumed_phase2,resumed_phase2_parquet,resumed_phase2
DarkResp,Rd25_XSBNtestSite,regression,PLS,PLS,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls,partial,missing_fold_test_predictions,None,0.19408560234144398,,0.315774422720676,0.26036779551997313,-0.1920615540477466,0.19408560234144398,42.0,3.0,"{""final_repr"": ""None"", ""scaler"": ""None"", ""scatter"": ""None"", ""shape"": ""None""}","{""n_components"": 12}","[0.20730409658193352, 0.19189460450788765, 0.1830581059345108]",,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/Rd25_XSBNtestSite__phase2_resumed_results.parquet,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/Rd25_XSBNtestSite__best_config_from_resumed_phase2.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/pls_ridge_resume/pls/Rd25_XSBNtestSite__final_predictions_from_resumed_phase2.csv,,,resumed_phase2,resumed_phase2_parquet,resumed_phase2
